Jersey,name,Yr,pos,GP,GS,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,season
1,Bash Randle,So,INF,19,18,17,66,20,3,1,34,3,8,13,2,0,0,15,4,1,0,3,0,2022
3,Mitchell Dickson,Jr,C,19,19,17,68,19,1,1,25,1,6,14,3,0,2,6,0,0,0,6,0,2022
8,Colton Eager,Sr,OF,19,19,13,76,28,11,1,47,2,20,5,5,2,0,9,0,1,0,5,0,2022
22,Grayson Tatrow,Jr,OF,19,19,21,74,24,5,0,44,5,20,12,1,0,1,26,0,1,0,6,0,2022
9,Hunter Gieser,Sr,INF,17,17,8,57,13,3,0,22,2,12,5,5,1,0,25,1,0,0,1,0,2022
12,Miller Ladusau,So,OF,17,17,16,62,20,6,0,29,1,12,6,7,1,0,20,0,0,0,0,0,2022
6,Alexei Cazarin,Sr,INF,16,6,4,28,6,1,0,10,1,6,0,0,0,1,10,0,2,0,1,0,2022
23,Tommy Cruz,Sr,INF,16,12,7,51,16,0,0,19,1,11,6,1,0,0,6,2,0,0,1,0,2022
42,Aaron Staehely,So,OF,15,5,10,29,10,1,0,14,1,8,2,2,0,0,4,0,3,0,5,0,2022
10,Bryson Hill,Jr,INF,14,13,9,37,12,2,0,26,4,9,8,3,0,0,13,0,2,0,2,0,2022
2,Brett Hammit,So,INF,14,11,9,39,12,3,0,24,3,11,4,3,0,0,18,0,0,0,0,0,2022
41,Tanner Tweedt,Jr,C,11,11,8,43,13,1,1,25,3,12,2,1,0,0,13,0,0,0,0,0,2022
4,Julio Riggs,So,OF,11,2,1,13,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,2022
37,Adam Byrd,Fr,P,9,0,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2022
18,Drake Boggan,So,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
5,Riley Bender,Fr,INF,7,2,2,9,4,2,0,6,0,0,0,0,0,0,4,1,0,0,0,0,2022
39,Connor Carlton,Jr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
45,Max Huffing,So,P,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
29,Carter Sells,Jr,P,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
11,Tanner Riley,Sr,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
7,Genner Cervantes,Sr,P,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
