wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,R/PA,RPG,cFIP,season
0.348,1.123,0.79829,0.81915,0.95954,1.35663,1.71307,2.01798,0.133,5.236,3.651,2013
0.341,1.18,0.78569,0.79812,0.96545,1.36776,1.82269,2.07572,0.129,5.061,3.525,2014
0.349,1.105,0.79783,0.82336,0.95064,1.32426,1.64098,1.9648,0.137,5.425,3.733,2015
0.348,1.102,0.7854,0.7966,0.9524,1.3127,1.7083,1.96578,0.139,5.536,3.822,2016
0.351,1.092,0.77729,0.79205,0.94322,1.30842,1.70758,1.95513,0.143,5.694,3.861,2017
0.354,1.075,0.79647,0.81863,0.94821,1.31856,1.62259,1.93642,0.141,5.626,3.841,2018
0.355,1.045,0.80637,0.82853,0.94698,1.29146,1.60941,1.89128,0.145,5.838,3.951,2019
0.346,1.095,0.79689,0.81968,0.97083,1.28144,1.65008,2.0367,0.139,5.535,3.909,2020
0.37,0.9767,0.75,0.76,0.94,1.32,1.63,2.07,0.151,5.887,4.021,2021
0.367,0.9795,0.785404,0.803778,0.949848,1.303976,1.643932,1.977906,0.157,,4.205,2022
