date,field,runs_scored,runs_allowed,opponent,run_difference
2021-02-20,@Abilene Christian,16,3,Tarleton State,13
2021-02-20,@Abilene Christian,7,2,Tarleton State,5
2021-02-21,@Tarleton State,4,10,Tarleton State,-6
2021-02-23,@Texas A&M,6,5,Texas A&M,1
2021-02-26,@Abilene Christian,8,7,New Mexico State,1
2021-02-27,@Abilene Christian,15,9,New Mexico State,6
2021-02-28,@Abilene Christian,2,12,New Mexico State,-10
2021-03-02,@Texas-Arlington,2,3,Texas-Arlington,-1
2021-03-05,@Abilene Christian,26,3,Arkansas State,23
2021-03-06,@Abilene Christian,6,5,Arkansas State,1
2021-03-07,@Abilene Christian,9,4,Arkansas State,5
2021-03-12,@Central Arkansas,9,8,Central Arkansas,1
2021-03-13,@Central Arkansas,5,4,Central Arkansas,1
2021-03-13,@Central Arkansas,3,6,Central Arkansas,-3
2021-03-14,@Central Arkansas,8,9,Central Arkansas,-1
2021-03-19,@Abilene Christian,6,7,Nicholls State,-1
2021-03-20,@Abilene Christian,6,5,Nicholls State,1
2021-03-20,@Abilene Christian,4,1,Nicholls State,3
2021-03-21,@Abilene Christian,4,7,Nicholls State,-3
2021-03-26,@New Orleans,9,6,New Orleans,3
2021-03-27,@New Orleans,19,10,New Orleans,9
2021-03-27,@New Orleans,4,8,New Orleans,-4
2021-03-28,@New Orleans,16,12,New Orleans,4
2021-04-01,@Abilene Christian,2,8,Northwestern State,-6
2021-04-02,@Abilene Christian,11,0,Northwestern State,11
2021-04-02,@Abilene Christian,3,5,Northwestern State,-2
2021-04-03,@Abilene Christian,5,6,Northwestern State,-1
2021-04-09,@Southeastern Louisiana,13,9,Southeastern Louisiana,4
2021-04-10,@Southeastern Louisiana,8,4,Southeastern Louisiana,4
2021-04-10,@Southeastern Louisiana,3,8,Southeastern Louisiana,-5
2021-04-11,@Southeastern Louisiana,0,7,Southeastern Louisiana,-7
2021-04-13,@Abilene Christian,11,10,Texas-Arlington,1
2021-04-16,@Texas,0,18,Texas,-18
2021-04-17,@Texas,1,3,Texas,-2
2021-04-18,@Texas,1,11,Texas,-10
2021-04-23,@Abilene Christian,1,12,Incarnate Word,-11
2021-04-24,@Abilene Christian,8,3,Incarnate Word,5
2021-04-24,@Abilene Christian,10,7,Incarnate Word,3
2021-04-25,@Abilene Christian,8,4,Incarnate Word,4
2021-05-02,@Houston Baptist,5,2,Houston Baptist,3
2021-05-02,@Houston Baptist,8,6,Houston Baptist,2
2021-05-07,@Abilene Christian,3,2,Lamar,1
2021-05-08,@Abilene Christian,8,4,Lamar,4
2021-05-08,@Abilene Christian,10,5,Lamar,5
2021-05-09,@Abilene Christian,7,5,Lamar,2
2021-05-14,@Sam Houston State,10,1,Sam Houston State,9
2021-05-15,@Sam Houston State,12,6,Sam Houston State,6
2021-05-15,@Sam Houston State,4,5,Sam Houston State,-1
2021-05-16,@Sam Houston State,5,3,Sam Houston State,2
2021-05-20,@Abilene Christian,13,3,Stephen F. Austin State,10
2021-05-21,@Abilene Christian,7,3,Stephen F. Austin State,4
2021-05-21,@Abilene Christian,6,4,Stephen F. Austin State,2
2021-05-22,@Abilene Christian,3,9,Stephen F. Austin State,-6
2021-05-26,@Abilene Christian,7,1,Lamar,6
2021-05-27,@Abilene Christian,4,3,Texas A&M-Corpus Christi,1
2021-05-28,@Sam Houston State,12,14,Sam Houston State,-2
2021-05-29,@Abilene Christian,13,15,Sam Houston State,-2
2021-02-20,@Louisiana State,1,6,Louisiana State,-5
2021-02-21,@Louisiana State,6,5,Louisiana State,1
2021-02-21,@Air Force,1,18,Louisiana Tech,-17
2021-02-27,@New Mexico,2,5,New Mexico,-3
2021-02-27,@New Mexico,7,11,New Mexico,-4
2021-02-28,@New Mexico,4,11,New Mexico,-7
2021-03-05,@Air Force,4,1,Army,3
2021-03-06,@Army,12,1,Army,11
2021-03-07,@Air Force,5,4,Army,1
2021-03-13,@Air Force,12,3,Wichita State,9
2021-03-13,@Arizona,5,2,Arizona,3
2021-03-14,@Arizona,5,14,Arizona,-9
2021-03-20,@San Diego State,1,5,San Diego State,-4
2021-03-20,@San Diego State,2,9,San Diego State,-7
2021-03-21,@San Diego State,13,9,San Diego State,4
2021-03-27,@Air Force,4,3,Nevada-Las Vegas,1
2021-03-27,@Air Force,10,7,Nevada-Las Vegas,3
2021-03-28,@Air Force,11,10,Nevada-Las Vegas,1
2021-04-02,@Nevada,7,5,Nevada,2
2021-04-02,@Nevada,2,1,Nevada,1
2021-04-03,@Nevada,9,15,Nevada,-6
2021-04-10,@Fresno State,3,8,Fresno State,-5
2021-04-10,@Fresno State,1,7,Fresno State,-6
2021-04-11,@Fresno State,12,6,Fresno State,6
2021-04-13,@Kansas,3,13,Kansas,-10
2021-04-14,@Kansas,4,7,Kansas,-3
2021-04-16,@Dallas Baptist,0,2,Dallas Baptist,-2
2021-04-17,@Dallas Baptist,3,0,Dallas Baptist,3
2021-04-18,@Dallas Baptist,5,3,Dallas Baptist,2
2021-04-24,@Air Force,7,14,Nevada,-7
2021-04-24,@Air Force,6,3,Nevada,3
2021-04-25,@Air Force,4,7,Nevada,-3
2021-05-01,@Nevada-Las Vegas,4,11,Nevada-Las Vegas,-7
2021-05-01,@Nevada-Las Vegas,9,12,Nevada-Las Vegas,-3
2021-05-02,@Nevada-Las Vegas,8,6,Nevada-Las Vegas,2
2021-05-08,@Air Force,6,4,New Mexico,2
2021-05-08,@Air Force,15,12,New Mexico,3
2021-05-09,@Air Force,10,3,New Mexico,7
2021-05-14,@Air Force,11,6,San Jose State,5
2021-05-15,@Air Force,9,3,San Jose State,6
2021-05-15,@Air Force,11,3,San Jose State,8
2021-05-16,@Air Force,5,3,San Jose State,2
2021-05-22,@Air Force,3,17,San Diego State,-14
2021-05-23,@Air Force,13,20,San Diego State,-7
2021-05-23,@Air Force,10,13,San Diego State,-3
2021-05-28,@Air Force,13,6,Fresno State,7
2021-05-28,@Air Force,9,7,Fresno State,2
2021-05-29,@Air Force,8,9,Fresno State,-1
2021-03-06,@Akron,13,0,Olivet,13
2021-03-06,@Akron,9,1,Olivet,8
