Jersey,name,Yr,pos,GP,GS,App,GS,ERA,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,pickoffs,season
37,Adam Byrd,Fr,P,9,0,6,0,1.04,8.2,0,4,3,1,4,15,0,35,29,0,0,0,0,3,2,0,3,1,0,0,152,5,6,0,0,1,5,0,2022
18,Drake Boggan,So,P,7,0,7,0,5.23,10.1,0,8,6,6,6,18,0,46,37,2,0,0,1,2,1,0,7,3,1,1,184,9,4,0,0,0,1,0,2022
39,Connor Carlton,Jr,P,7,0,7,0,8.53,6.1,0,5,6,6,3,12,0,32,26,1,0,0,0,1,3,1,8,4,0,0,99,4,3,0,0,0,5,0,2022
45,Max Huffing,So,P,6,1,6,1,3.68,14.2,0,11,6,6,8,19,0,62,51,4,0,0,1,2,1,0,10,5,1,1,263,7,17,3,0,0,6,1,2022
29,Carter Sells,Jr,P,6,0,6,0,0.66,13.2,0,7,3,1,3,11,0,54,49,3,0,0,0,0,2,0,5,4,0,0,184,10,19,1,1,1,3,0,2022
11,Tanner Riley,Sr,P,5,0,5,0,0.87,10.1,0,8,1,1,3,15,0,41,37,1,0,0,0,1,0,0,6,3,1,0,165,8,6,2,0,1,5,0,2022
7,Genner Cervantes,Sr,P,5,3,5,3,11.00,9.0,0,15,13,11,8,16,0,51,43,4,1,0,0,6,0,0,0,0,0,0,209,11,1,0,2,0,2,0,2022
21,Tyler Morgan,So,P,5,5,5,5,2.74,23.0,0,21,7,7,13,26,0,100,85,5,0,0,1,5,1,0,0,0,1,0,388,19,19,3,0,0,8,0,2022
27,Sam Berberich,So,P,5,0,5,0,3.60,5.0,0,3,2,2,3,5,0,22,18,1,0,0,0,0,1,0,3,0,0,0,91,7,3,0,0,0,0,0,2022
35,Mitch White,Jr,P,5,0,5,0,2.08,4.1,0,6,1,1,3,5,0,20,17,1,1,0,0,2,0,0,6,4,0,0,87,3,3,0,0,0,0,0,2022
17,Breck Eichelberger,Jr,P,5,5,5,5,4.05,26.2,0,24,16,12,9,23,0,115,102,10,1,0,2,2,3,1,0,0,0,1,405,25,30,2,2,0,4,1,2022
24,Garrett Egli,Sr,P,4,1,4,1,12.00,6.0,0,9,8,8,3,4,0,31,26,3,0,0,0,0,2,0,2,1,0,0,116,8,5,0,0,0,2,0,2022
16,Adam Stephenson,Jr,P,4,4,4,4,13.03,9.2,0,18,14,14,10,11,0,55,43,5,0,0,1,0,2,0,0,0,0,0,215,7,7,0,2,0,3,0,2022
19,Zach Smith,Jr,P,3,0,3,0,4.91,3.2,0,3,7,2,3,3,0,20,15,0,0,0,0,1,2,0,0,0,0,0,72,5,3,0,0,0,3,0,2022
15,Riley Bauman,So,P,3,0,3,0,18.00,3.0,0,4,6,6,2,2,0,16,12,1,0,0,1,1,1,0,0,0,1,0,70,4,3,0,1,0,1,0,2022
0,Trevor Jackson,Sr,P,3,0,3,0,7.36,3.2,0,2,3,3,4,5,0,18,12,0,0,0,1,0,1,0,2,0,1,0,71,6,0,0,0,0,0,0,2022
44,Sam Grace,Jr,P,3,0,3,0,0.00,4.0,0,4,0,0,2,6,0,18,15,1,0,0,0,3,0,0,1,1,1,0,75,3,3,0,0,0,2,0,2022
28,Cinoon Bak,Fr,P,2,0,2,0,13.50,2.0,0,3,3,3,1,4,0,10,9,0,1,0,1,1,0,0,0,0,0,0,43,1,1,0,0,0,0,0,2022
43,Austin Hale,So,INF,1,0,1,0,0.0,0.0,0,1,3,3,0,0,0,3,1,0,0,0,0,0,2,0,2,2,0,0,7,0,0,0,0,0,0,0,2022
14,Chase Spencer,Fr,INF,12,10,1,0,27.00,1.0,0,2,4,3,1,1,0,7,6,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2022
23,Paul Skenes,So,UT,11,11,4,4,4.43,20.1,0,17,10,10,7,27,0,82,73,4,2,0,1,2,1,0,0,0,1,0,161,21,10,1,2,0,3,0,2022
19,Duke Benge,Jr,UT,11,0,11,0,5.00,9.0,0,8,9,5,3,9,0,39,35,1,0,0,2,0,1,1,20,6,0,0,133,9,8,0,2,0,2,0,2022
30,Doyle Gehring,So,P,9,0,9,0,1.88,14.1,0,10,3,3,2,14,0,58,52,0,0,0,1,2,4,0,8,3,0,0,142,16,12,0,1,4,4,0,2022
27,Dylan Rogers,Fr,P,7,0,7,0,7.90,13.2,0,14,12,12,7,10,0,64,51,2,0,0,1,2,2,1,7,7,1,3,118,16,14,0,0,0,2,0,2022
25,Zach Argo,Sr,P,6,0,6,0,1.86,9.2,0,9,2,2,1,9,0,38,35,3,0,0,0,1,2,0,0,0,0,0,109,7,10,1,0,0,1,0,2022
11,Cj Dornak,Sr,P,5,0,5,0,12.38,8.0,0,12,11,11,5,5,0,40,34,5,1,0,2,2,0,0,6,5,0,1,111,6,12,0,0,0,1,0,2022
20,Robert Martin,Sr,P,5,5,5,5,6.61,16.1,0,19,16,12,9,17,0,82,66,5,0,0,1,2,5,0,0,0,0,2,315,11,20,1,1,0,4,0,2022
44,Ryan Stohr,Jr,UT,5,3,5,3,1.88,14.1,0,8,4,3,7,11,0,60,48,1,0,0,1,2,3,0,1,0,1,1,200,16,14,0,1,0,2,0,2022
35,Jake Sansing,Jr,P,5,0,5,0,6.75,9.1,0,13,7,7,5,6,0,44,38,1,3,0,1,1,0,0,2,0,1,0,188,10,10,1,1,0,1,0,2022
32,Kyle Moats,So,P,5,0,5,0,12.46,4.1,0,6,8,6,7,5,0,28,17,0,0,1,0,5,2,0,4,1,2,0,105,5,3,0,1,0,1,0,2022
28,Stevan Fairburn Jr.,Sr,P,4,0,4,0,19.64,3.2,0,11,9,8,1,2,0,25,21,5,1,1,1,2,1,0,5,2,0,2,36,3,6,0,0,0,1,0,2022
40,Seungmin Shim,So,P,4,4,4,4,4.66,19.1,0,18,13,10,8,10,0,82,71,5,0,0,1,2,1,0,0,0,1,1,208,26,19,2,2,0,6,1,2022
29,Jason Shuger,Jr,P,4,1,4,1,12.27,3.2,0,3,5,5,9,5,0,22,12,1,0,0,0,1,1,0,1,1,0,0,62,2,2,0,0,0,2,1,2022
26,Sawyer Hawks,Fr,P,3,1,3,1,7.11,6.1,0,8,5,5,9,6,0,35,26,2,0,0,1,4,0,0,0,0,0,0,96,6,6,0,1,0,2,0,2022
37,Jimmy Hebenstreit,So,P,1,0,1,0,9.00,1.0,0,1,1,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,19,2,1,0,0,0,0,0,2022
33,Sammy Tortorella,So,P,6,0,6,0,4.26,6.1,0,4,4,3,4,5,0,29,23,1,0,0,0,1,1,0,2,2,1,0,96,7,7,1,0,0,1,0,2022
40,Taed Heydinger,Sr,P,5,5,5,5,7.50,24.0,0,34,23,20,10,17,0,117,100,6,1,0,2,1,3,1,0,0,2,2,411,23,24,1,4,0,5,2,2022
32,Anthony Fett,So,P,5,5,5,5,6.56,23.1,0,26,19,17,9,15,0,103,89,5,0,0,4,2,1,0,0,0,1,3,389,16,32,0,3,0,7,1,2022
41,Brett Dietrich,Jr,P,5,0,5,0,0.00,8.0,0,5,1,0,3,7,0,35,29,1,0,0,0,1,3,0,5,2,0,0,149,7,9,0,0,2,0,0,2022
22,Jacob  Beall,Fr,P,5,0,5,0,2.77,13.0,0,11,4,4,3,15,0,55,45,3,0,1,0,1,4,0,5,4,1,2,176,14,7,1,0,1,5,0,2022
14,Conor Steinbaugh,Sr,P,5,5,5,5,4.35,20.2,0,18,12,10,7,11,0,92,80,3,0,0,4,2,3,0,0,0,1,1,317,26,25,1,3,0,2,0,2022
4,Sean Perkins,Fr,P,4,0,4,0,12.46,4.1,0,5,6,6,5,2,0,26,20,0,0,0,2,0,1,0,3,2,0,0,94,3,8,0,0,1,2,0,2022
26,Jacob Krausher,Fr,P,4,0,4,0,24.75,4.0,0,7,12,11,7,1,0,27,18,1,1,0,4,1,1,1,2,1,1,0,99,3,7,0,0,0,1,0,2022
31,Brady Biglin,So,P,4,0,4,0,14.81,10.1,0,20,20,17,10,5,0,61,49,3,2,0,3,2,1,0,3,3,0,1,209,15,9,0,0,0,0,0,2022
6,Jackson Hickert,Sr,P,4,2,4,2,4.50,6.0,0,4,3,3,3,5,0,27,22,0,0,0,0,0,2,0,0,0,0,0,92,7,5,1,2,0,1,0,2022
23,Jackson Miller,Jr,P,3,0,3,0,10.12,5.1,0,6,7,6,7,2,0,31,21,0,0,0,0,2,1,0,0,0,0,2,116,5,8,0,0,0,0,0,2022
25,Spencer Atkins,So,P,3,0,3,0,13.50,6.2,0,10,10,10,9,4,0,39,26,3,0,0,1,1,1,0,1,1,2,1,135,7,7,0,0,0,2,0,2022
8,Yassir Kahook,So,P,2,0,2,0,15.00,3.0,0,8,5,5,1,2,0,18,17,2,1,0,0,1,0,0,2,0,0,0,64,3,4,0,0,0,0,0,2022
18,Jacob Clark,Jr,P,2,0,2,0,3.38,2.2,0,3,1,1,1,4,0,12,10,0,1,0,0,0,0,0,3,1,0,1,47,1,3,0,0,0,0,0,2022
10,Joey Herrick,Fr,P,2,0,2,0,0.00,2.0,0,2,1,0,2,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,34,1,3,0,0,0,0,0,2022
28,Matthew Radtka,Sr,P,1,0,1,0,13.50,0.2,0,1,2,1,2,1,0,5,3,1,0,0,0,0,0,0,2,2,0,0,30,1,0,0,0,0,0,0,2022
88,Hunter Hoopes,Sr,P,7,0,7,0,2.35,7.2,0,7,2,2,1,11,0,29,28,1,1,1,0,0,0,0,4,1,0,0,114,3,7,0,0,2,2,0,2022
12,Hunter Furtado,So,P,7,0,7,0,5.19,17.1,0,14,10,10,7,21,0,73,64,0,0,1,4,0,2,0,6,1,0,0,294,7,21,2,2,0,5,1,2022
34,Jacob Mcnairy,Sr,P,6,2,6,2,3.26,19.1,0,17,7,7,4,17,0,76,70,1,0,0,2,2,1,0,0,0,1,0,260,27,10,4,0,0,6,0,2022
33,Luke Holman,Fr,P,6,0,6,0,8.59,7.1,0,10,7,7,5,7,0,37,32,3,0,0,0,1,0,0,0,0,0,0,168,7,8,0,1,0,0,0,2022
40,Brock Guffey,Sr,P,6,0,6,0,0.00,12.0,0,10,1,0,3,9,0,50,45,4,0,0,0,0,2,0,8,5,0,0,183,19,6,2,0,1,6,1,2022
38,Dylan Ray,Fr,P,5,0,5,0,3.09,11.2,0,7,5,4,5,21,0,48,42,1,0,0,3,1,1,0,2,0,0,0,212,4,9,0,1,2,7,1,2022
26,Grayson Hitt,So,P,5,5,5,5,2.33,19.1,0,19,10,5,7,22,0,84,74,3,0,1,2,2,0,0,0,0,2,1,319,15,15,1,0,0,7,1,2022
14,Antoine Jean,Jr,P,5,5,5,5,4.35,20.2,0,18,10,10,11,13,0,92,79,3,0,0,3,1,0,0,0,0,2,0,349,28,21,1,1,0,5,0,2022
39,Garrett Mcmillan,Jr,P,5,5,5,5,3.00,30.0,0,20,10,10,6,29,0,113,106,1,0,0,5,0,0,0,0,0,1,0,437,22,35,2,1,0,8,0,2022
36,Hagan Banks,Fr,P,4,2,4,2,3.68,7.1,0,2,3,3,3,5,0,27,24,0,0,0,0,2,0,0,0,0,0,0,110,5,12,0,1,0,3,0,2022
29,Brayden Gainey,Jr,P,4,0,4,0,5.14,7.0,0,11,5,4,0,3,0,32,31,2,0,0,2,0,0,0,0,0,0,1,113,6,12,0,0,0,0,0,2022
37,Hunter Ruth,Sr,P,4,0,4,0,3.60,5.0,0,3,2,2,2,7,0,19,15,1,0,0,0,0,1,0,0,0,0,1,83,5,1,1,0,0,1,0,2022
32,Braylon Myers,Fr,P,3,0,3,0,9.00,3.0,0,4,3,3,0,4,0,13,12,0,0,0,2,0,1,0,0,0,0,0,50,1,3,0,0,0,1,0,2022
30,Jake Leger,Jr,P,3,0,3,0,3.86,4.2,0,6,2,2,0,7,0,20,20,3,0,1,0,2,0,0,2,2,0,0,79,1,6,0,0,0,2,0,2022
48,Landon Green,Jr,P,3,0,3,0,7.36,3.2,0,4,3,3,3,6,0,20,16,1,0,0,0,3,1,0,2,0,0,0,85,2,3,0,0,0,1,0,2022
28,Eli Giles,So,P,2,0,2,0,0.00,2.0,0,1,0,0,0,1,0,7,7,0,0,1,0,0,0,0,0,0,0,0,22,2,3,0,0,0,1,0,2022
41,Connor Ball,Fr,P,2,0,2,0,4.50,2.0,0,4,1,1,0,1,0,10,9,0,0,0,0,1,1,0,0,0,0,0,29,0,4,0,0,0,0,0,2022
27,Ben Hess,Fr,P,2,2,2,2,9.00,3.0,0,5,3,3,0,4,0,14,14,3,0,0,1,0,0,0,0,0,0,0,53,3,2,0,1,0,1,0,2022
19,Trace Moore,Jr,P,2,0,2,0,4.50,2.0,0,3,2,1,0,3,0,9,9,0,0,0,1,0,0,0,0,0,0,0,35,2,1,0,0,0,2,0,2022
24,Jason Marono,So,P,9,0,9,0,6.00,15.0,0,23,17,10,5,6,0,74,67,3,0,0,3,2,1,0,7,4,1,0,16,17,19,1,1,0,2,0,2022
21,Avery Seaton,Fr,p,6,0,6,0,3.38,10.2,0,11,4,4,4,15,0,49,41,4,0,0,0,8,4,0,5,1,0,0,0,8,7,0,0,0,6,0,2022
8,Jason Garcia,So,P,5,0,5,0,7.20,10.0,0,12,11,8,8,12,0,53,44,4,0,0,1,8,0,0,4,2,0,1,0,7,10,0,0,0,6,0,2022
38,Josue Torres-Santos,Sr,P,5,4,5,4,7.30,24.2,0,38,21,20,5,11,0,118,111,6,1,0,6,2,1,1,2,0,1,0,62,20,40,0,3,0,2,0,2022
19,Tyler Campbell,So,OF,5,5,5,5,12.46,17.1,0,35,28,24,12,14,0,105,90,5,3,0,1,0,3,0,0,0,0,0,102,12,24,0,4,0,1,0,2022
26,Evan Crenshaw,So,P,5,0,5,0,6.59,13.2,0,16,10,10,10,15,0,69,55,1,0,0,2,4,2,0,4,2,0,2,61,15,9,2,0,0,4,0,2022
36,Dustin Hernandez,Jr,p,5,0,5,0,16.88,8.0,0,13,16,15,9,7,0,49,36,0,2,0,3,1,2,0,5,3,0,2,12,4,13,0,1,0,2,0,2022
17,Khari Caver,Jr,P,4,3,4,3,12.15,6.2,0,7,12,9,6,4,0,39,29,0,0,0,1,0,3,0,0,0,0,1,0,5,11,0,3,0,2,0,2022
