ncaa_name,bd_name,school_id,max_season,min_season,division
Abilene Christian,Abilene Christian,2,2022,2013,1
Air Force,Air Force,721,2022,2013,1
Akron,Akron,5,2022,2013,1
Alabama,Alabama,8,2022,2013,1
Alabama A&M,Alabama A&M,6,2022,2013,1
Alabama St.,Alabama State,7,2022,2013,1
UAB,Alabama-Birmingham,9,2022,2013,1
Albany (NY),Albany,14,2022,2013,1
Alcorn,Alcorn State,17,2022,2013,1
Appalachian St.,Appalachian State,27,2022,2013,1
Arizona,Arizona,29,2022,2013,1
Arizona St.,Arizona State,28,2022,2013,1
Arkansas,Arkansas,31,2022,2013,1
Arkansas St.,Arkansas State,30,2022,2013,1
Little Rock,Arkansas-Little Rock,32,2022,2013,1
Ark.-Pine Bluff,Arkansas-Pine Bluff,2678,2022,2013,1
Army West Point,Army,725,2022,2013,1
Auburn,Auburn,37,2022,2013,1
Austin Peay,Austin Peay State,43,2022,2013,1
Ball St.,Ball State,47,2022,2013,1
Baylor,Baylor,51,2022,2013,1
Belmont,Belmont,14927,2022,2013,1
Bethune-Cookman,Bethune-Cookman,61,2022,2013,1
Binghamton,Binghamton,62,2022,2013,1
Boise St.,Boise State,66,2022,2013,1
Boston College,Boston College,67,2022,2013,1
Bowling Green,Bowling Green State,71,2022,2013,1
Bradley,Bradley,72,2022,2013,1
BYU,Brigham Young,77,2022,2013,1
Brown,Brown,80,2022,2013,1
Bryant,Bryant,81,2022,2013,1
Bucknell,Bucknell,83,2022,2013,1
Buffalo,Buffalo,86,2022,2013,1
Butler,Butler,87,2022,2013,1
CSU Bakersfield,CSU Bakersfield,94,2022,2013,1
Cal Poly,Cal Poly,90,2022,2013,1
Cal St. Fullerton,Cal State Fullerton,97,2022,2013,1
CSUN,Cal State Northridge,101,2022,2013,1
California,California,107,2022,2013,1
California Baptist,California Baptist,30135,2022,2013,1
Campbell,Campbell,115,2022,2013,1
Canisius,Canisius,116,2022,2013,1
Central Ark.,Central Arkansas,1004,2022,2013,1
Central Conn. St.,Central Connecticut State,127,2022,2013,1
UCF,Central Florida,128,2022,2013,1
Central Mich.,Central Michigan,129,2022,2013,1
Charleston So.,Charleston Southern,48,2022,2013,1
Chicago St.,Chicago State,136,2022,2013,1
Cincinnati,Cincinnati,140,2022,2013,1
Clemson,Clemson,147,2022,2013,1
Coastal Carolina,Coastal Carolina,149,2022,2013,1
Col. of Charleston,College of Charleston,1014,2022,2013,1
Columbia,Columbia,158,2022,2013,1
UConn,Connecticut,164,2022,2013,1
Coppin St.,Coppin State,165,2022,2013,1
Cornell,Cornell,167,2022,2013,1
Creighton,Creighton,169,2022,2013,1
DBU,Dallas Baptist,1045,2022,2013,1
Dartmouth,Dartmouth,172,2022,2013,1
Davidson,Davidson,173,2022,2013,1
Dayton,Dayton,175,2022,2013,1
Delaware,Delaware,180,2022,2013,1
Delaware St.,Delaware State,178,2022,2013,1
Dixie St.,Dixie State,30095,2022,2013,1
Duke,Duke,193,2022,2013,1
East Carolina,East Carolina,196,2022,2013,1
ETSU,East Tennessee,198,2022,2013,1
Eastern Ill.,Eastern Illinois,201,2022,2013,1
Eastern Ky.,Eastern Kentucky,202,2022,2013,1
Eastern Mich.,Eastern Michigan,204,2022,2013,1
Elon,Elon,1068,2022,2013,1
Evansville,Evansville,219,2022,2013,1
Fairfield,Fairfield,220,2022,2013,1
Fairleigh Dickinson,Fairleigh Dickinson,222,2022,2013,1
Florida,Florida,235,2022,2013,1
Florida A&M,Florida A&M,228,2022,2013,1
Fla. Atlantic,Florida Atlantic,229,2022,2013,1
FGCU,Florida Gulf Coast,28755,2022,2013,1
FIU,Florida International,231,2022,2013,1
Florida St.,Florida State,234,2022,2013,1
Fordham,Fordham,236,2022,2013,1
Fresno St.,Fresno State,96,2022,2013,1
Furman,Furman,244,2022,2013,1
Gardner-Webb,Gardner-Webb,1092,2022,2013,1
George Mason,George Mason,248,2022,2013,1
George Washington,George Washington,249,2022,2013,1
Georgetown,Georgetown,251,2022,2013,1
Georgia,Georgia,257,2022,2013,1
Ga. Southern,Georgia Southern,253,2022,2013,1
Georgia St.,Georgia State,254,2022,2013,1
Georgia Tech,Georgia Tech,255,2022,2013,1
Gonzaga,Gonzaga,260,2022,2013,1
Grambling,Grambling State,261,2022,2013,1
Grand Canyon,Grand Canyon,1104,2022,2013,1
Hartford,Hartford,272,2022,2013,1
Harvard,Harvard,275,2022,2013,1
Hawaii,Hawaii,277,2022,2013,1
High Point,High Point,19651,2022,2013,1
Hofstra,Hofstra,283,2022,2013,1
Holy Cross,Holy Cross,285,2022,2013,1
Houston,Houston,288,2022,2013,1
Houston Baptist,Houston Baptist,287,2022,2013,1
Illinois,Illinois,301,2022,2013,1
Illinois St.,Illinois State,299,2022,2013,1
UIC,Illinois-Chicago,302,2022,2013,1
UIW,Incarnate World,2743,2022,2013,1
Indiana,Indiana,306,2022,2013,1
Indiana St.,Indiana State,305,2022,2013,1
Iona,Iona,310,2022,2013,1
Iowa,Iowa,312,2022,2013,1
Jackson St.,Jackson State,314,2022,2013,1
Jacksonville,Jacksonville,316,2022,2013,1
Jacksonville St.,Jacksonville State,315,2022,2013,1
James Madison,James Madison,317,2022,2013,1
Kansas,Kansas,328,2022,2013,1
Kansas St.,Kansas State,327,2022,2013,1
Kennesaw St.,Kennesaw State,1157,2022,2013,1
Kent St.,Kent State,331,2022,2013,1
Kentucky,Kentucky,334,2022,2013,1
La Salle,LaSalle,340,2022,2013,1
Lafayette,Lafayette,342,2022,2013,1
Lamar University,Lamar,346,2022,2013,1
Lehigh,Lehigh,352,2022,2013,1
Liberty,Liberty,355,2022,2013,1
Lipscomb,Lipscomb,28600,2022,2013,1
Long Beach St.,Long Beach State,99,2022,2013,1
LIU,Long Island,361,2022,2013,1
Longwood,Longwood,363,2022,2013,1
LSU,Louisiana State,365,2022,2013,1
Louisiana Tech,Louisiana Tech,366,2022,2013,1
La.-Monroe,Louisiana-Monroe,498,2022,2013,1
Louisville,Louisville,367,2022,2013,1
LMU (CA),Loyola Marymount,370,2022,2013,1
Maine,Maine,380,2022,2013,1
Manhattan,Manhattan,381,2022,2013,1
Marist,Marist,386,2022,2013,1
Marshall,Marshall,388,2022,2013,1
Maryland,Maryland,392,2022,2013,1
UMBC,Maryland-Baltimore County,391,2022,2013,1
UMES,Maryland-Eastern Shore,393,2022,2013,1
Massachusetts,Massachusetts,400,2022,2013,1
UMass Lowell,Massachusetts-Lowell,368,2022,2013,1
McNeese,McNeese State,402,2022,2013,1
Memphis,Memphis,404,2022,2013,1
Mercer,Mercer,406,2022,2013,1
Miami (FL),"Miami, Florida",415,2022,2013,1
