"","school","conference","school_id","year","division","conference_id"
"1","A&M-Corpus Christi","Southland",26172,2013,1,914
"2","A&M-Corpus Christi","Southland",26172,2014,1,914
"3","A&M-Corpus Christi","Southland",26172,2015,1,914
"4","A&M-Corpus Christi","Southland",26172,2016,1,914
"5","A&M-Corpus Christi","Southland",26172,2017,1,914
"6","A&M-Corpus Christi","Southland",26172,2018,1,914
"7","A&M-Corpus Christi","Southland",26172,2019,1,914
"8","A&M-Corpus Christi","Southland",26172,2020,1,914
"9","Abilene Christian","Lone Star",2,2013,2,868
"10","Abilene Christian","Southland",2,2014,1,914
"11","Abilene Christian","Southland",2,2015,1,914
"12","Abilene Christian","Southland",2,2016,1,914
"13","Abilene Christian","Southland",2,2017,1,914
"14","Abilene Christian","Southland",2,2018,1,914
"15","Abilene Christian","Southland",2,2019,1,914
"16","Abilene Christian","Southland",2,2020,1,914
"17","Academy of Art","PacWest",30123,2013,2,19591
"18","Academy of Art","PacWest",30123,2014,2,19591
"19","Academy of Art","PacWest",30123,2015,2,19591
"20","Academy of Art","PacWest",30123,2016,2,19591
"21","Academy of Art","PacWest",30123,2017,2,19591
"22","Academy of Art","PacWest",30123,2018,2,19591
"23","Academy of Art","PacWest",30123,2019,2,19591
"24","Academy of Art","PacWest",30123,2020,2,19591
"25","Adams St.","RMAC",929,2013,2,13128
"26","Adams St.","RMAC",929,2014,2,13128
"27","Adams St.","RMAC",929,2015,2,13128
"28","Adams St.","RMAC",929,2016,2,13128
"29","Adams St.","RMAC",929,2017,2,13128
"30","Adams St.","RMAC",929,2018,2,13128
"31","Adams St.","RMAC",929,2019,2,13128
"32","Adams St.","RMAC",929,2020,2,13128
"33","Adelphi","NE10",3,2013,2,899
"34","Adelphi","NE10",3,2014,2,899
"35","Adelphi","NE10",3,2015,2,899
"36","Adelphi","NE10",3,2016,2,899
"37","Adelphi","NE10",3,2017,2,899
"38","Adelphi","NE10",3,2018,2,899
"39","Adelphi","NE10",3,2019,2,899
"40","Adelphi","NE10",3,2020,2,899
"41","Adrian","Michigan Intercol. Ath. Assn.",4,2013,3,873
"42","Adrian","Michigan Intercol. Ath. Assn.",4,2014,3,873
"43","Adrian","Michigan Intercol. Ath. Assn.",4,2015,3,873
"44","Adrian","Michigan Intercol. Ath. Assn.",4,2016,3,873
"45","Adrian","Michigan Intercol. Ath. Assn.",4,2017,3,873
"46","Adrian","Michigan Intercol. Ath. Assn.",4,2018,3,873
"47","Adrian","Michigan Intercol. Ath. Assn.",4,2019,3,873
"48","Adrian","Michigan Intercol. Ath. Assn.",4,2020,3,873
"49","Air Force","Mountain West",721,2013,1,5486
"50","Air Force","Mountain West",721,2014,1,5486
"51","Air Force","Mountain West",721,2015,1,5486
"52","Air Force","Mountain West",721,2016,1,5486
"53","Air Force","Mountain West",721,2017,1,5486
"54","Air Force","Mountain West",721,2018,1,5486
"55","Air Force","Mountain West",721,2019,1,5486
"56","Air Force","Mountain West",721,2020,1,5486
"57","Akron","MAC",5,2013,1,875
"58","Akron","MAC",5,2014,1,875
"59","Akron","MAC",5,2015,1,875
"60","Akron","MAC",5,2020,1,875
"61","Alabama","SEC",8,2013,1,911
"62","Alabama","SEC",8,2014,1,911
"63","Alabama","SEC",8,2015,1,911
"64","Alabama","SEC",8,2016,1,911
"65","Alabama","SEC",8,2017,1,911
"66","Alabama","SEC",8,2018,1,911
"67","Alabama","SEC",8,2019,1,911
"68","Alabama","SEC",8,2020,1,911
"69","Alabama A&M","SWAC",6,2013,1,916
"70","Alabama A&M","SWAC",6,2014,1,916
"71","Alabama A&M","SWAC",6,2015,1,916
"72","Alabama A&M","SWAC",6,2016,1,916
"73","Alabama A&M","SWAC",6,2017,1,916
"74","Alabama A&M","SWAC",6,2018,1,916
"75","Alabama A&M","SWAC",6,2019,1,916
"76","Alabama A&M","SWAC",6,2020,1,916
"77","Alabama Huntsville","Gulf South",10,2013,2,858
"78","Alabama Huntsville","Gulf South",10,2014,2,858
"79","Alabama Huntsville","Gulf South",10,2015,2,858
"80","Alabama Huntsville","Gulf South",10,2016,2,858
"81","Alabama Huntsville","Gulf South",10,2017,2,858
"82","Alabama Huntsville","Gulf South",10,2018,2,858
"83","Alabama Huntsville","Gulf South",10,2019,2,858
"84","Alabama Huntsville","Gulf South",10,2020,2,858
"85","Alabama St.","SWAC",7,2013,1,916
"86","Alabama St.","SWAC",7,2014,1,916
"87","Alabama St.","SWAC",7,2015,1,916
"88","Alabama St.","SWAC",7,2016,1,916
"89","Alabama St.","SWAC",7,2017,1,916
"90","Alabama St.","SWAC",7,2018,1,916
"91","Alabama St.","SWAC",7,2019,1,916
"92","Alabama St.","SWAC",7,2020,1,916
"93","Albany (NY)","America East",14,2013,1,845
"94","Albany (NY)","America East",14,2014,1,845
"95","Albany (NY)","America East",14,2015,1,845
"96","Albany (NY)","America East",14,2016,1,845
"97","Albany (NY)","America East",14,2017,1,845
"98","Albany (NY)","America East",14,2018,1,845
"99","Albany (NY)","America East",14,2019,1,845
"100","Albany (NY)","America East",14,2020,1,845
"101","Albany St. (GA)","SIAC",13,2013,2,913
"102","Albany St. (GA)","SIAC",13,2014,2,913
"103","Albany St. (GA)","SIAC",13,2015,2,913
"104","Albany St. (GA)","SIAC",13,2016,2,913
"105","Albany St. (GA)","SIAC",13,2017,2,913
"106","Albany St. (GA)","SIAC",13,2018,2,913
"107","Albany St. (GA)","SIAC",13,2019,2,913
"108","Albany St. (GA)","SIAC",13,2020,2,913
"109","Albertus Magnus","Great Northeast",2798,2013,3,23257
"110","Albertus Magnus","Great Northeast",2798,2014,3,23257
"111","Albertus Magnus","Great Northeast",2798,2015,3,23257
"112","Albertus Magnus","Great Northeast",2798,2016,3,23257
"113","Albertus Magnus","Great Northeast",2798,2017,3,23257
"114","Albertus Magnus","Great Northeast",2798,2018,3,23257
"115","Albertus Magnus","Great Northeast",2798,2019,3,23257
"116","Albertus Magnus","Great Northeast",2798,2020,3,23257
"117","Albion","Michigan Intercol. Ath. Assn.",15,2013,3,873
"118","Albion","Michigan Intercol. Ath. Assn.",15,2014,3,873
"119","Albion","Michigan Intercol. Ath. Assn.",15,2015,3,873
"120","Albion","Michigan Intercol. Ath. Assn.",15,2016,3,873
"121","Albion","Michigan Intercol. Ath. Assn.",15,2017,3,873
"122","Albion","Michigan Intercol. Ath. Assn.",15,2018,3,873
"123","Albion","Michigan Intercol. Ath. Assn.",15,2019,3,873
"124","Albion","Michigan Intercol. Ath. Assn.",15,2020,3,873
"125","Albright","MAC Commonwealth",16,2013,3,28744
"126","Albright","MAC Commonwealth",16,2014,3,28744
"127","Albright","MAC Commonwealth",16,2015,3,28744
"128","Albright","MAC Commonwealth",16,2016,3,28744
"129","Albright","MAC Commonwealth",16,2017,3,28744
"130","Albright","MAC Commonwealth",16,2018,3,28744
"131","Albright","MAC Commonwealth",16,2019,3,28744
"132","Albright","MAC Commonwealth",16,2020,3,28744
"133","Alcorn","SWAC",17,2013,1,916
"134","Alcorn","SWAC",17,2014,1,916
"135","Alcorn","SWAC",17,2015,1,916
"136","Alcorn","SWAC",17,2016,1,916
"137","Alcorn","SWAC",17,2017,1,916
"138","Alcorn","SWAC",17,2018,1,916
"139","Alcorn","SWAC",17,2019,1,916
"140","Alcorn","SWAC",17,2020,1,916
"141","Alderson Broaddus","WVIAC",934,2013,2,21344
"142","Alderson Broaddus","G-MAC",934,2014,2,30182
"143","Alderson Broaddus","G-MAC",934,2015,2,30182
"144","Alderson Broaddus","G-MAC",934,2016,2,30182
"145","Alderson Broaddus","G-MAC",934,2017,2,30182
"146","Alderson Broaddus","G-MAC",934,2018,2,30182
"147","Alderson Broaddus","G-MAC",934,2019,2,30182
"148","Alderson Broaddus","G-MAC",934,2020,2,30182
"149","Alfred St.","AMCC",30170,2018,3,30022
"150","Alfred St.","AMCC",30170,2019,3,30022
"151","Alfred St.","AMCC",30170,2020,3,30022
"152","Allegheny","NCAC",19,2013,3,897
"153","Allegheny","NCAC",19,2014,3,897
"154","Allegheny","NCAC",19,2015,3,897
"155","Allegheny","NCAC",19,2016,3,897
"156","Allegheny","NCAC",19,2017,3,897
"157","Allegheny","NCAC",19,2018,3,897
"158","Allegheny","NCAC",19,2019,3,897
"159","Allegheny","NCAC",19,2020,3,897
"160","Alma","Michigan Intercol. Ath. Assn.",21,2013,3,873
"161","Alma","Michigan Intercol. Ath. Assn.",21,2014,3,873
"162","Alma","Michigan Intercol. Ath. Assn.",21,2015,3,873
"163","Alma","Michigan Intercol. Ath. Assn.",21,2016,3,873
"164","Alma","Michigan Intercol. Ath. Assn.",21,2017,3,873
"165","Alma","Michigan Intercol. Ath. Assn.",21,2018,3,873
"166","Alma","Michigan Intercol. Ath. Assn.",21,2019,3,873
"167","Alma","Michigan Intercol. Ath. Assn.",21,2020,3,873
"168","Alvernia","MAC Commonwealth",938,2013,3,28744
"169","Alvernia","MAC Commonwealth",938,2014,3,28744
"170","Alvernia","MAC Commonwealth",938,2015,3,28744
"171","Alvernia","MAC Commonwealth",938,2016,3,28744
"172","Alvernia","MAC Commonwealth",938,2017,3,28744
"173","Alvernia","MAC Commonwealth",938,2018,3,28744
"174","Alvernia","MAC Commonwealth",938,2019,3,28744
"175","Alvernia","MAC Commonwealth",938,2020,3,28744
"176","American Int'l","NE10",22,2013,2,899
"177","American Int'l","NE10",22,2014,2,899
"178","American Int'l","NE10",22,2015,2,899
"179","American Int'l","NE10",22,2016,2,899
"180","American Int'l","NE10",22,2017,2,899
"181","American Int'l","NE10",22,2018,2,899
"182","American Int'l","NE10",22,2019,2,899
"183","American Int'l","NE10",22,2020,2,899
"184","Amherst","NESCAC",24,2013,3,12817
"185","Amherst","NESCAC",24,2014,3,12817
"186","Amherst","NESCAC",24,2015,3,12817
"187","Amherst","NESCAC",24,2016,3,12817
"188","Amherst","NESCAC",24,2017,3,12817
"189","Amherst","NESCAC",24,2018,3,12817
"190","Amherst","NESCAC",24,2019,3,12817
"191","Amherst","NESCAC",24,2020,3,12817
"192","Anderson (IN)","HCAC",939,2013,3,9174
"193","Anderson (IN)","HCAC",939,2014,3,9174
"194","Anderson (IN)","HCAC",939,2015,3,9174
"195","Anderson (IN)","HCAC",939,2016,3,9174
"196","Anderson (IN)","HCAC",939,2017,3,9174
"197","Anderson (IN)","HCAC",939,2018,3,9174
"198","Anderson (IN)","HCAC",939,2019,3,9174
"199","Anderson (IN)","HCAC",939,2020,3,9174
"200","Anderson (SC)","SAC",13028,2013,2,12850
"201","Anderson (SC)","SAC",13028,2014,2,12850
"202","Anderson (SC)","SAC",13028,2015,2,12850
"203","Anderson (SC)","SAC",13028,2016,2,12850
"204","Anderson (SC)","SAC",13028,2017,2,12850
"205","Anderson (SC)","SAC",13028,2018,2,12850
"206","Anderson (SC)","SAC",13028,2019,2,12850
"207","Anderson (SC)","SAC",13028,2020,2,12850
"208","Angelo St.","Lone Star",25,2013,2,868
"209","Angelo St.","Lone Star",25,2014,2,868
"210","Angelo St.","Lone Star",25,2015,2,868
"211","Angelo St.","Lone Star",25,2016,2,868
"212","Angelo St.","Lone Star",25,2017,2,868
"213","Angelo St.","Lone Star",25,2018,2,868
"214","Angelo St.","Lone Star",25,2019,2,868
"215","Angelo St.","Lone Star",25,2020,2,868
"216","Anna Maria","Great Northeast",26,2013,3,23257
"217","Anna Maria","Great Northeast",26,2014,3,23257
"218","Anna Maria","Great Northeast",26,2015,3,23257
"219","Anna Maria","Great Northeast",26,2016,3,23257
"220","Anna Maria","Great Northeast",26,2017,3,23257
"221","Anna Maria","Great Northeast",26,2018,3,23257
"222","Anna Maria","Great Northeast",26,2019,3,23257
"223","Anna Maria","Great Northeast",26,2020,3,23257
"224","Appalachian St.","SoCon",27,2013,1,912
"225","Appalachian St.","SoCon",27,2014,1,912
"226","Appalachian St.","Sun Belt",27,2015,1,818
"227","Appalachian St.","Sun Belt",27,2016,1,818
"228","Appalachian St.","Sun Belt",27,2017,1,818
"229","Appalachian St.","Sun Belt",27,2018,1,818
"230","Appalachian St.","Sun Belt",27,2019,1,818
"231","Appalachian St.","Sun Belt",27,2020,1,818
"232","Arcadia","MAC Commonwealth",966,2013,3,28744
"233","Arcadia","MAC Commonwealth",966,2014,3,28744
"234","Arcadia","MAC Commonwealth",966,2015,3,28744
"235","Arcadia","MAC Commonwealth",966,2016,3,28744
"236","Arcadia","MAC Commonwealth",966,2017,3,28744
"237","Arcadia","MAC Commonwealth",966,2018,3,28744
"238","Arcadia","MAC Commonwealth",966,2019,3,28744
"239","Arcadia","MAC Commonwealth",966,2020,3,28744
"240","Arizona","Pac-12",29,2013,1,905
"241","Arizona","Pac-12",29,2014,1,905
"242","Arizona","Pac-12",29,2015,1,905
"243","Arizona","Pac-12",29,2016,1,905
"244","Arizona","Pac-12",29,2017,1,905
"245","Arizona","Pac-12",29,2018,1,905
"246","Arizona","Pac-12",29,2019,1,905
"247","Arizona","Pac-12",29,2020,1,905
"248","Arizona St.","Pac-12",28,2013,1,905
"249","Arizona St.","Pac-12",28,2014,1,905
"250","Arizona St.","Pac-12",28,2015,1,905
"251","Arizona St.","Pac-12",28,2016,1,905
"252","Arizona St.","Pac-12",28,2017,1,905
"253","Arizona St.","Pac-12",28,2018,1,905
"254","Arizona St.","Pac-12",28,2019,1,905
"255","Arizona St.","Pac-12",28,2020,1,905
"256","Ark.-Fort Smith","Heartland",30105,2013,2,28723
"257","Ark.-Fort Smith","Heartland",30105,2014,2,28723
"258","Ark.-Fort Smith","Heartland",30105,2015,2,28723
"259","Ark.-Fort Smith","Heartland",30105,2016,2,28723
"260","Ark.-Fort Smith","Heartland",30105,2017,2,28723
"261","Ark.-Fort Smith","Heartland",30105,2018,2,28723
"262","Ark.-Fort Smith","Heartland",30105,2019,2,28723
"263","Ark.-Fort Smith","Lone Star",30105,2020,2,868
"264","Ark.-Monticello","GAC",8411,2013,2,30144
"265","Ark.-Monticello","GAC",8411,2014,2,30144
