conference_id,conference
0,Independent
818,Sun Belt
819,Summit League
820,Atlantic 10
821,ACC
823,AAC
826,Big South
827,Big Ten
828,CCAA
832,CIAA
834,CUNYAC
835,SCAC
836,CCIW
837,CAA
838,Patriot
839,CCC
842,USA South
845,America East
846,NEC
854,GLIAC
855,GLVC
858,Gulf South
863,Empire 8
864,American Rivers
865,Ivy League
867,Little East
868,Lone Star
870,MASCAC
871,MAAC
873,Michigan Intercol. Ath. Assn.
875,MAC
876,MEAC
881,Horizon
882,MIAC
883,Mid-America Intercollegiate
884,MVC
888,NECC
890,NEWMAC
891,NJAC
897,NCAC
899,NE10
901,OAC
902,OVC
903,ODAC
904,Big West
905,Pac-12
906,PSAC
907,PAC
910,SCIAC
911,SEC
912,SoCon
913,SIAC
914,Southland
916,SWAC
917,SUNYAC
919,Sunshine State
920,ASUN
922,WCC
923,WAC
1471,UAA
1473,WIAC
4423,Conference Carolinas
5486,Mountain West
9174,HCAC
9683,Centennial
11265,ECC
12817,NESCAC
12850,SAC
12853,NSIC
12923,Peach Belt
12974,SLIAC
13054,Skyline
13128,RMAC
14825,ASC
15810,C2C
19591,PacWest
21062,CSAC
21344,WVIAC
23119,MWC
23257,Great Northeast
24197,Liberty League
24312,C-USA
25300,NWC
25354,Big 12
26388,Division III Independents
28723,Heartland
28744,MAC Commonwealth
28745,MAC Freedom
28752,CACC
30012,Great Northwest
30022,AMCC
30026,North Atlantic
30071,NEAC
30074,Great South
30097,NACC
30101,Landmark
30115,UMAC
30144,GAC
30156,GWC
30169,SAA
30182,G-MAC
30183,MEC
30184,Big East
30233,Atlantic East
99010,DII Independent
99020,DIII Independent
