ncaa_name,bd_name,school_id,max_season,min_season
Abilene Christian,Abilene Christian,2,2022,2013
Air Force,Air Force,721,2022,2013
Akron,Akron,5,2022,2013
Alabama,Alabama,8,2022,2013
Alabama A&M,Alabama A&M,6,2022,2013
Alabama St.,Alabama State,7,2022,2013
UAB,Alabama-Birmingham,9,2022,2013
Albany (NY),Albany,14,2022,2013
Alcorn,Alcorn State,17,2022,2013
Appalachian St.,Appalachian State,27,2022,2013
Arizona,Arizona,29,2022,2013
Arizona St.,Arizona State,28,2022,2013
Arkansas,Arkansas,31,2022,2013
Arkansas St.,Arkansas State,30,2022,2013
Little Rock,Arkansas-Little Rock,32,2022,2013
Ark.-Pine Bluff,Arkansas-Pine Bluff,2678,2022,2013
Army West Point,Army,725,2022,2013
Auburn,Auburn,37,2022,2013
Austin Peay,Austin Peay State,43,2022,2013
Ball St.,Ball State,47,2022,2013
Baylor,Baylor,51,2022,2013
Belmont,Belmont,14927,2022,2013
Bethune-Cookman,Bethune-Cookman,61,2022,2013
Binghamton,Binghamton,62,2022,2013
Boise St.,Boise State,66,2022,2013
Boston College,Boston College,67,2022,2013
Bowling Green,Bowling Green State,71,2022,2013
Bradley,Bradley,72,2022,2013
BYU,Brigham Young,77,2022,2013
Brown,Brown,80,2022,2013
Bryant,Bryant,81,2022,2013
Bucknell,Bucknell,83,2022,2013
Buffalo,Buffalo,86,2022,2013
Butler,Butler,87,2022,2013
CSU Bakersfield,CSU Bakersfield,94,2022,2013
Cal Poly,Cal Poly,90,2022,2013
Cal St. Fullerton,Cal State Fullerton,97,2022,2013
CSUN,Cal State Northridge,101,2022,2013
California,California,107,2022,2013
California Baptist,California Baptist,30135,2022,2013
Campbell,Campbell,115,2022,2013
Canisius,Canisius,116,2022,2013
Central Ark.,Central Arkansas,1004,2022,2013
Central Conn. St.,Central Connecticut State,127,2022,2013
UCF,Central Florida,128,2022,2013
Central Mich.,Central Michigan,129,2022,2013
Charleston So.,Charleston Southern,48,2022,2013
Chicago St.,Chicago State,136,2022,2013
Cincinnati,Cincinnati,140,2022,2013
Clemson,Clemson,147,2022,2013
Coastal Carolina,Coastal Carolina,149,2022,2013
Col. of Charleston,College of Charleston,1014,2022,2013
Columbia,Columbia,158,2022,2013
UConn,Connecticut,164,2022,2013
Coppin St.,Coppin State,165,2022,2013
Cornell,Cornell,167,2022,2013
Creighton,Creighton,169,2022,2013
DBU,Dallas Baptist,1045,2022,2013
